微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IBvkW2lHu,年轻人可能不知道，以前的友谊商店，只接待外国友人  原图 ,http://wx3.sinaimg.cn/large/006Dpwtngy1gdfrxhldwuj30b20f2dga.jpg,无,无,2020/4/2 22:08,无,657,89,134
IBudP7gG5,老罗又赶上“风口”了  原图 ,http://wx3.sinaimg.cn/large/006Dpwtngy1gdfn1btqemj30u015e159.jpg,无,无,2020/4/2 19:17,无,362,54,64
IBrH4CNop,我认识的一个人，本来计划年后小孩去加拿大读初二的，这么小出去，主要原因是成绩不太行，可能考不上像样的高中，后面大学也堪忧，所以狠狠心让小的出去，反正中产阶级就两件事，买房和教育，不过疫情彻底打乱了他的计划  ,无,无,无,2020/4/2 12:51,无,376,32,92
IBrmR9Lc9,学会藏拙，一个人在适当的地方和时间，展露才华是正常的，也是有必要的，否则别人以为你是hellokitty，但不要不分场合地点，处处时时的表现自己的聪明，就跟杨修一样，为了聪明而聪明，结果适得其反，平时要懂得收敛，藏拙，最好让别人觉得你人憨憨笨笨，但做事却很到位  ,无,无,无,2020/4/2 12:01,无,401,116,47
IBrhkmZzT,职场中要管住嘴，有很多的事，都是嘴惹的祸，有些人内心很单纯，总喜欢对人掏心掏肺，但职场牵涉复杂的利益，平静的海面下往往暗流涌动，白天不搭理的两个人可能晚上在一起喝酒了，你对小张说的掏心窝子话，没过半天大家都知道了  ,无,无,无,2020/4/2 11:48,无,351,104,44
IBqQ4adhd,有意思的官场小故事  原图 ,http://wx2.sinaimg.cn/large/006Dpwtngy1gdf83ntdfoj319025x4qa.jpg,无,无,2020/4/2 10:41,无,567,85,113
IBmcaoMOa,印尼一警校1550名学生接受检测 ，300名学生确诊  ,无,无,无,2020/4/1 22:51,无,157,33,56
IBlRR0vqU,一直在想一个事儿，为啥雷军做啥成啥，罗永浩做啥啥不成，跟运气有关系吗？  ,无,无,无,2020/4/1 22:01,无,841,54,173
IBlBBnJbO,嫦娥二号获得的全月影像图观察到了阿波罗11号登月遗迹  原图 ,http://wx4.sinaimg.cn/large/006Dpwtngy1gdekyk1om7j30u00drn0m.jpg,无,无,2020/4/1 21:21,无,123,11,12
IBkux7abP,老黄说全世界的钱都会涌向中国，百年难遇  原图 ,http://wx4.sinaimg.cn/large/006Dpwtngy1gdeg25qnpoj30u0193amp.jpg,无,无,2020/4/1 18:31,无,816,94,202
IBhf2gFxM,埃及宣布自3月28日起未来3个月内停止各种豆类产品的出口。  ,无,无,无,2020/4/1 10:15,微博 weibo.com,102,12,25
IBh7pwBxp,印尼和菲律宾两国宣布粮仓告急，称储存的粮食最多只能维持3个月  ,无,无,无,2020/4/1 9:56,微博 weibo.com,194,51,69
IBbmotJaK,央行马骏建议中国今年不再设定GDP增长目标，然后，然后被批了  ,无,无,无,2020/3/31 19:16,无,817,42,109
