微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IBLsAjHmK,过去50年，美国失业人数变化。http://t.cn/A6ZRLbOE  ruanyf的微博视频  ,无,"http://f.video.weibocdn.com/003NXSGZgx07CeugDHXp010412002xO30E010.mp4?label=mp4_hd&template=480x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586059089&ssig=9Z120PGdfq&KID=unistore,video",无,2020/4/4 15:10,微博视频,241,225,59
IBEkkmQVe,今年的 ES2020 标准正式定稿了。我数了一下，一共新增了10个语法点。http://t.cn/A6ZHLae3  原图 ,http://wx3.sinaimg.cn/large/537f5932ly1gdgvnpfu3tj20pe0dcjup.jpg,无,无,2020/4/3 21:01,微博 HTML5 版,113,37,14
IBAyIg1NK,Pluralsight 宣布四月份对用户免费，网站上面 7000 多门视频课都可以免费听。它家的 C# 课程很有名，最近 Python、JS、Java、Devops 课程也添加了不少。http://t.cn/RcAXzjn  原图 ,http://wx1.sinaimg.cn/large/537f5932ly1gdgf0vya0nj21350h7acn.jpg,无,无,2020/4/3 11:25,微博 HTML5 版,114,95,7
IBzN58idx,《科技爱好者周刊（第101期）》：疫情期间，很多东西都是稀缺的：缺口罩、缺消毒液、缺呼吸机......但是，有一样东西是不缺的，那就是互联网。稀缺的都是实体商品，虚拟的互联网服务不仅不缺，实际上还很宽裕。这说明了什么？http://t.cn/A6ZjH5aJ  原图 ,http://wx4.sinaimg.cn/large/537f5932ly1gdgbms36zbj20m80etaaz.jpg,无,无,2020/4/3 9:28,微博 HTML5 版,31,10,17
IBlWA9dgW,在家远程办公的时候，你会不会想起办公室嘈杂的工作环境，说话声、电话铃声、敲击键盘声、喝水声…… 这里有一个办公室噪音生成器，可以无限播放。http://t.cn/A6Zp2TaW  原图 ,http://wx1.sinaimg.cn/large/537f5932ly1gdemi1qsbyj20gr0bfmxi.jpg,无,无,2020/4/1 22:13,微博 HTML5 版,68,50,12
IBlq9AeRh,推荐一篇好文《写给新软件工程师的一封信》。作者给进入这个行业的新人，提供了几点建议（下图），我觉得说得相当好。http://t.cn/A6ZN14Bt当然，新人对这些建议肯定没有很深的理解。工作几年以后，再回头看，你会觉得这才是正确的路。  原图 ,http://wx4.sinaimg.cn/large/537f5932ly1gdek6z01bjj20ch075wf2.jpg,无,无,2020/4/1 20:53,微博 HTML5 版,236,212,26
IBgSIe8CA,winter 老师要开前端进阶班了。本人亲自授课，培养目标阿里 P6，这个没法更权威了，他在阿里招过的P6多少啊。�http://t.cn/A6Z92NFM下周就开班，听说一共要上课5个月。我要了一个优惠码 QDRUANYFE，需要的同学自取，可以便宜300元。助教答疑、班主任督学、企业内推，这些都有配套。  原图 ,http://wx1.sinaimg.cn/large/537f5932ly1gde05i3b96j20yi1pdgun.jpg,无,无,2020/4/1 9:20,微博 HTML5 版,85,28,21
IBgQ9gOJo,Dark Sky 一直是我首选的天气 App，今天宣布被苹果收购了，将关闭 API 和不再支持安卓了。http://t.cn/A6ZKxeV4几年前，IBM 收购了 weather.com。我就不明白了，为什么巨头喜欢收购天气预报服务……  原图 ,http://wx3.sinaimg.cn/large/537f5932ly1gddzywxy54j20u30rsq5z.jpg,无,无,2020/4/1 9:13,微博 HTML5 版,37,3,26
IBasafEsi,Deno 确定了 5月13日 发布1.0版，正好是项目启动两周年纪念日。http://t.cn/A6ZSoF8Y这说明，它的基本功能已经齐全了。后面就等一个好用的 Web 框架，以及一个有影响力的应用项目了。  原图 ,http://wx1.sinaimg.cn/large/537f5932ly1gdd7ruyhv9j20fg0cctav.jpg,无,无,2020/3/31 16:58,微博 HTML5 版,35,26,17
IB0Ppaxqb,国产的在线音频剪辑转码工具，方便大家做一些简单的音频编辑，兼顾了准专业性和傻瓜式的需求。http://t.cn/A6ZJHBJx  原图 ,http://wx3.sinaimg.cn/large/537f5932ly1gdc1a44ywjj20m809smy1.jpg,无,无,2020/3/30 16:28,微博 HTML5 版,83,57,5
