微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IuQrMggWY,闲的没事写个简介。id：SadDogParty，北京人，在读大学生（混子），业余撰稿人，涵盖游戏、电影、电视剧、音乐、人物采访等等。如果您想作为玩家讲讲自己的故事，随时联系我。机核电台时间轴小组成员（不是机核正式工），作者中拉胯先锋。不是二次元也不怎么看动漫，唯二看过的动漫是《少女与战车》和《逆转裁判》。唯一特别喜欢的二次元形象是《最后生还者》里的艾莉。北京国安球迷，御林军成员，大量转发有关国安内容。游戏平台是steam，有ns但是玩的不多。爱玩剧情向游戏、FPS游戏和RTS游戏。一些主流游戏并不喜欢玩。音乐也杂，心头好是万能青年旅店和CCR（克里登斯清水复兴合唱团）电影喜欢京味电影，特别喜欢昆汀，其次是姜文。对越战非常感兴趣。没品meme警告⚠️就这么多，大家都是上网冲浪，希望求同存异吧。哪儿看的有不高兴的，您就当我是一傻波依。             [组图共3张]      原图                             ,"http://ww1.sinaimg.cn/large/006EShdhly1gc155jtmh2j31hb2ms1ky.jpg,http://ww2.sinaimg.cn/large/006EShdhly1gc155ka6qgj30ry0jqac1.jpg,http://ww4.sinaimg.cn/large/006EShdhly1gc155lnr2sg30gf0927wk.gif",无,无,2020/2/19 3:00,iPhone XS Max,7,1,9
IBeu6rLEO,分享图片  原图 ,http://wx1.sinaimg.cn/large/006EShdhly1gddpkl335cj322o0yix6s.jpg,无,无,2020/4/1 3:14,iPhone XS Max,1,0,0
IARjmEib1,打了一下午，从五级两星打到五级零星，四级的边都没碰到。我太难了。 SadDogParty的微博视频  ,无,"http://f.video.weibocdn.com/Fw2OGZYNlx07C4ZhydSg0104120046sF0E010.mp4?label=mp4_hd&template=480x360.25.0&trans_finger=1d826f6f1a11607b0eef762fee9b15cd&Expires=1586012917&ssig=5TAaVWGPSE&KID=unistore,video",无,2020/3/29 16:14,iPhone XS Max,0,0,0
IAQfPzpW2,丧狗党党主席 正在#bilibili# 直播向传说进攻！快来了解一下吧～http://t.cn/EMqk3e6  原图 ,http://wx2.sinaimg.cn/large/006EShdhly1gdaqlmq7wij30b80b83yz.jpg,无,无,2020/3/29 13:32,iPhone XS Max,0,0,0
IAMgv3hBZ,今天靠着这三位大哥冲到五了，打算趁着这三天拼一把，看看能不能打到传说。毕竟以后想上传说可就难了，何况最近天梯环境也不错。明天玩的时候开个直播，b站21278971，欢迎各位前来指点江山。干就完了奥利给！  [组图共3张] 原图 ,"http://ww4.sinaimg.cn/large/006EShdhly1gda8zl8wmuj31sy0u0npn.jpg,http://ww4.sinaimg.cn/large/006EShdhly1gda8z810r8j30u01sye85.jpg,http://ww3.sinaimg.cn/large/006EShdhly1gda8zlsxbuj30lt0k0wfo.jpg",无,无,2020/3/29 3:23,iPhone XS Max,1,0,0
IAKN9DbKV,丧狗党党主席 正在#bilibili# 直播菜比猎人冲分之旅快来了解一下吧～http://t.cn/EMqk3e6  原图 ,http://wx4.sinaimg.cn/large/006EShdhly1gda2hgt5duj30b80b83yz.jpg,无,无,2020/3/28 23:38,iPhone XS Max,0,0,0
IAtljAq9D,下次写完稿子一定用手机审一遍，我是真的没耐心盯着刺眼的电脑屏幕，找出那些狗屁不通的语句和多如牛毛的错别字。  原图 ,http://wx3.sinaimg.cn/large/006EShdhly1gd7xg9p4s6j30jg0g8401.jpg,无,无,2020/3/27 3:13,iPhone XS Max,0,0,2
IzI4TmhM7,极乐迪斯科这款游戏的后劲实在是太大了，越玩越有劲，越玩越沉迷。真是很久都没有这种玩游戏欲罢不能的感觉了！  [组图共3张] 原图 ,"http://ww2.sinaimg.cn/large/006EShdhly1gd24scdu4dj31hc0u078v.jpg,http://ww3.sinaimg.cn/large/006EShdhly1gd24scry1kj30go0p0di5.jpg,http://ww1.sinaimg.cn/large/006EShdhly1gd24sc44uwj30k00k00vb.jpg",无,无,2020/3/22 2:53,iPhone XS Max,1,0,0
IzozyDnlj,我现在满脑子都是方舱医院 真 神 奇  ,无,无,无,2020/3/20 1:14,iPhone XS Max,1,0,2
IyuwSoJSS,分享图片  原图 ,http://wx3.sinaimg.cn/large/006EShdhly1gcsv9a3842j30ci0hfwg5.jpg,无,无,2020/3/14 2:33,iPhone XS Max,0,0,0
