微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IBEhitoeQ,《没人气漫画画手的日常》  原图 ,http://wx4.sinaimg.cn/large/7d7e1b98gy1gdgvfkay1dj20nh0zgjy5.jpg,无,无,2020/4/3 20:53,搜狗高速浏览器,348,6,83
IBDPHhfjN,CSP笔刷。之前为了画图特地做了个绣球笔刷，根据惠子小姐这个品种画的。我用的时候是黑白的，想着干脆做成彩色的，大家可以随意用，个人商业做背景都可以用，笔刷本体不能商用，解释权归我~花分为两层，外圈的大花和里圈的小花，嗯，画成别的花环什么的都可以，不过颜色没办法改了。地址走评论  [组图共3张] 原图 ,"http://ww2.sinaimg.cn/large/7d7e1b98gy1gdgtfa8rvrj21400u0b29.jpg,http://ww3.sinaimg.cn/large/7d7e1b98gy1gdgtfcfvo3j21400u0473.jpg,http://ww4.sinaimg.cn/large/7d7e1b98gy1gdgtfdyfbsg20d20cutia.gif",无,无,2020/4/3 19:45,搜狗高速浏览器,268,26,39
IBzWSkMh3,对啦，今早和朋友聊到如果无法看出自己的水平，或者说不知道自己哪里画得不好的时候，是不是应该先提高审美，去看看别人的作品什么的。按照我亲身经历来说，我认为应该先提高画技，继续做练习【当然欣赏佳作要一直做】。因为这和“外行看热闹，内行看门道”一样，你必须是知道光影是怎么画的，你才能欣赏他人画的光影很棒，是如何处理暗面亮面，是如何安排光源的，不然就只能是“我靠牛逼”但是又不知道哪里牛逼。所以当你无法知道自己差在哪里的时候，去练习就对了，提高自己的画技，学习更多新的画技，这样才能知道自己哪里不会，哪里不行。具体来说，当你知道自己哪里有问题，虽然别人说你别的地方有问题但是你依然看不出来，那就先解决自己觉得有问题的地方，鼻子有问题就练鼻子，线条有问题练线条，人体有问题就练人体，场景有问题练场景，色彩有问题练色彩，搭配有问题练搭配，当你提升到一定程度，你会发现自己的问题的，这个时候你的审美就已经提高了。那你完全不觉得自己的图有问题怎么办，去画没画过的东西，那些肯定是你不熟悉并且不会的东西，放心，画技就是一个圈，练着场景你会回头练人体透视的。希望对大家有用。                                 ,无,无,无,2020/4/3 9:52,搜狗高速浏览器,126,18,16
IBvEC5uYn,杰埼。啾啾~另外预售开了  [组图共2张] 原图 ,"http://ww3.sinaimg.cn/large/7d7e1b98gy1gdftdb9cadj20nh0zgwpf.jpg,http://ww4.sinaimg.cn/large/7d7e1b98gy1gdftdb494xj20nh0zgdoz.jpg",无,无,2020/4/2 22:56,搜狗高速浏览器,387,22,94
IBtCRyp61,杰埼的明信片【你懂的】，存在的立牌【你懂的】，开始预售了。希望能有10套吧。杰埼的合集同居是200P，因为全部收录的话就太多了，所以第一册只收录到了16年10月份的，全是已公布的图【大部分修正过】，如果10套都没有，那后续咱就不做了好吗……修了好久的说……转变是32P，前面20P是已公布的那部分【修改过】。存在是大概270P一册，分两册。没有未公布内容。嘛，纪念用，没人买我就自己做5套收着送人吧。预售半个月到一个月。后期不补了，专心做原创。地址走评论。薄的是B5开本，厚的是A5开本。             [组图共2张]      原图                             ,"http://ww1.sinaimg.cn/large/7d7e1b98gy1gdfkelb0adj206o06o0sv.jpg,http://ww1.sinaimg.cn/large/7d7e1b98gy1gdgbwj2ip6j205s05t74d.jpg",无,无,2020/4/2 17:46,搜狗高速浏览器,165,32,230
IBjqYAS4a,趁机问下大家，如果是在线看漫画，大家觉得什么样的收费最愿意掏钱？大胆说，不用担心说我说你想得美，毕竟我也是有“一话50块这样收费最好”这种幻想的。分“非常想看的漫画”和“没看过但是感兴趣想尝试看看”两种情况的漫画，你觉得怎么收费最合适？觉得免费看也是可以的，因为免费看传播最广  ,无,无,无,2020/4/1 15:50,搜狗高速浏览器,330,2,167
IBidHlC7P,杰埼。我终于磨完了！！！啊啊啊我恨彩图！！！！大家准备好了没有！！！！另外大家细品下封面~  原图 ,http://wx2.sinaimg.cn/large/7d7e1b98gy1gde61xsfxfj20wt0mo1eo.jpg,无,无,2020/4/1 12:44,搜狗高速浏览器,640,49,140
IBh9dwaIM,我觉得画漫画比画彩插、写小说什么的更难坚持【这里讲画自己喜欢的东西】相对来说，彩插比较容易变现，而小说需要的时间和人力成本也比漫画低【很多小说大大是边工作边写】，漫画要一定更新量就必须付出大量的人力成本和时间。所以漫画处在一个难变现，成本又高的处境。大家都说开打赏，开收费，打赏在读者的比例一般都很小，如果靠打赏是没办法养一个漫画的，而如果没有别的宣传渠道，开收费就意味着你把免费阅读这个宣传方式给摁死，收费就没那么多人阅读和订阅，没人阅读就没人打赏，如果要平台宣传那也是要用钱的【所以我认为读者的转评赞作用虽然有作用但是作用有限，无法和营销比拟】所以放弃的，我都觉得：嗯，可以理解，确实难熬。呀~读者就乐呵乐呵就好了，这些其实是创作者自己应该考虑的问题，我也就瞎说说，当然也欢迎跟我探讨，心平气和地探讨。                                 ,无,无,无,2020/4/1 10:00,搜狗高速浏览器,121,1,41
IBclaDfiP,杰埼。有几个小可爱说想看杰诺斯玩铃铛。对于坦诚提出的小可爱，我历来都是有求必应的  ,无,无,无,2020/3/31 21:46,搜狗高速浏览器,625,16,207
IB2n5az9g,杰埼。玩游戏时看到个绝妙的衣服设计，给老师穿穿，谁给想的啊，我太喜欢了  ,无,无,无,2020/3/30 20:23,搜狗高速浏览器,585,4,125
