微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IANRyyBbQ,好不容易有一小时的玩游戏时间，结果！！都更新！气哭！  原图 ,http://wx1.sinaimg.cn/large/a3a8ee03gy1gdag1bt0sfj20yl0md41a.jpg,无,无,2020-03-29 07:27,微博 weibo.com,2,0,0
IAJJeoSTv,今天和十年之前CS战队的队友们聊天，突然发觉以前的我们有大把的时间去消耗在游戏里，却没有足够的钱去氪金，一群小菜鸡拿着贫民装备打的也看快乐。反观现在，几百块钱的cod16，说买就买，十年前的我绝对想不到，随便就能买到自己最心爱的玩具，难以想象，现在唯独缺了游戏的时间，偶尔就是希望自己哪天可以痛痛快快玩上一天游戏，一天也好。就一天，不要求24小时，也不要求12小时，8小时就好。期待这样一天能早点到来。许下小心愿                                 ,无,无,无,2020-03-28 20:56,OnePlus 7T,1,0,0
Iye6XcH5v,世间万物的终点即是淘宝客，眼看着周围各行各业疫情期间都变成了淘宝客，心情复杂  ,无,无,无,2020-03-12 08:46,OnePlus 7T,2,0,0
IxVeV5Jlk,#咪咕崩了#咪咕音乐也崩了  ,无,无,无,2020-03-10 08:43,OnePlus 7T,0,0,1
IuNX1C7Fz,菜成这样还打游戏，死ぬ  原图 ,http://wx4.sinaimg.cn/large/a3a8ee03gy1gc0u4u35pcj20kg0fn46z.jpg,无,无,2020-02-18 20:39,微博 weibo.com,0,0,0
IulPzCeJk,突然感觉英雄联盟是个神奇的东西，把五湖四海的人召集在一起打架  ,无,无,无,2020-02-15 21:04,OnePlus 7T,0,0,0
Iu0Zd9yWo,记得是2005年的冬天，我第一次走进了那个空气浑浊的网吧，一楼左手边是吧台，吧台收银小姐姐喜欢离子烫，皮肤白白的，笑起来有个小酒窝：四排几十台机器一大半是大哥哥们打魔兽的地方，烟熏黄的大显示器下面放着包浆键盘，有个比我高几年级的小哥教我玩劲乐团，玩了几次遍放弃了，对音游也没啥天赋。后来又有个非主流条纹上衣的大哥哥教我玩劲舞团，上下左右空格五个键敲的劈啪作响，条纹大哥，也不知道你现在还有没有那么多痘痘了，依然记得你帮我建号教我玩的画面，最后一次见面的时候别人叫你去超难度的歌曲PK，还记得输掉之后讪笑的样子。收银小姐姐偶尔也会嫌弃我都是半小时半小时加钱，哈哈，和同年级的同学打热血江湖，网吧对战CS1.5，我都很喜欢。楼上的麻将大哥就很喜欢红颜这首歌，记忆里的声音和烟臭味道，还有记忆里的人和游戏，如诗，如酒。 小河马啊的微博视频                                 ,无,无,无,2020-02-13 16:00,OnePlus 7T,2,0,1
IsNPUwS7k,全市给住户发酒精，有个二逼给喝了，现在在医院洗胃呢。  ,无,无,无,2020-02-05 16:41,OnePlus 7T,1,0,1
IssCX6v9F,分享  李丽芬 的歌曲《爱江山更爱美人》爱江山更爱美人 (分享自@虾米音乐)  ,无,无,无,2020-02-03 10:41,虾米音乐移动版,0,0,0
Isa6gufra,打不过孟获，气死我了  原图 ,http://wx1.sinaimg.cn/large/a3a8ee03ly1gbgqrnq9mwj20r20h976r.jpg,无,无,2020-02-01 11:31,OnePlus 7T,0,0,0
