微博,4
正文,1
最近,5
这个,26
卖房子,1
的,75
电话,3
，,96
真是,9
有点,7
疯狂,1
买,5
4,3
送,2
2,11
都,38
出来,5
了,78
。,71
那,6
其实,6
还是,10
降价,1
但是,11
市场,5
上,16
钱袋子,1
这么,8
紧,1
除了,1
年轻人,4
以外,1
老同志,1
哪,1
有钱,2
呢,8
我,58
觉得,8
当务之急,2
应该,10
降低,2
首付,1
给,23
上车,2
机会,4
我们,15
打电话,2
价值,1
不大,1
 ,98
 ,97
本子,1
？,7
有人,3
用过,3
吗,6
谢谢,19
原图,28
小米,1
这,12
款,2
笔记本,2
进来,2
点,6
评论,3
惨案,1
因为,5
鉴,1
huang,1
能力,3
只能,3
把,13
朋友圈,4
背景,1
改成,1
现在,17
样子,1
是,33
发,1
简历,4
男,1
女,1
有,29
助理,4
天天,2
忙,3
状态,1
也好,2
也,32
精神,1
阿里巴巴,2
AE,1
技术部,1
；,8
本地,3
生活,3
服务部,1
天猫,1
国际,1
研发部,1
阿里,2
云,1
BU,1
消息中间件,1
团队,2
数据,3
智能,1
招聘,2
杭州,1
北京,8
上海,1
人才,2
南瑞,1
在,21
南京,6
大量,7
java,1
方面,4
字节,1
跳动,1
企业应用,1
部门,1
国际化,1
广告,1
召,1
人,26
湾区,1
岗位,1
租房,1
补贴,2
1500,1
一个月,1
另有,1
Akulaku,1
深,2
信服,1
等,3
深圳,1
大厂,6
linux,6
平台,1
下,19
开发,1
考虑,5
到,17
一些,4
隐私,3
保护,1
需要,10
这些,8
用人单位,1
联系方式,1
就,35
没,19
写,1
流浪,1
江湖,1
牛,4
人们,1
可以,11
发给,1
转,1
交给,1
他们,8
或者,4
联系,4
索要,1
详细,1
要求,1
和,17
邮箱,3
直接,1
投递,1
阔,1
以,1
cl,2
_,2
workmail,2
真,9
要,28
买进,2
自从,1
这边,5
大力,1
搞,8
服务,3
以后,3
朋友,7
激活,1
给我发,1
来,9
组,2
消息,2
真牛,1
前,1
一段,2
170,1
多,10
全出,1
不,24
教育,1
方向,3
能,18
解决,3
就业,4
中产,3
家庭,1
肯,1
花钱,1
个,9
不错,1
啊,14
特别,6
12,2
岁,2
以下,1
家长,1
最,4
头疼,1
以上,3
孩子,5
基本,3
自己,5
折腾,5
辅导,2
压力,1
小,1
很多,5
毕竟,5
不了,2
今天,13
上班,6
",",1
怕,3
大楼,2
里面,4
检查,1
发现,2
去过,3
"""",1
污点,1
惨,7
...,1
结果,2
以往,1
一样,1
就让,1
我进,1
继续,8
进入,2
小区,1
就是,8
测量,1
体温,2
一切,3
恢复正常,2
真好,1
昨天晚上,2
又,12
两个,2
新,6
创意,1
想法,1
太,6
执行,1
人手不足,1
从来,3
碰,2
过瑞幸,1
咖啡,1
看不懂,2
没有,8
护城河,1
靠,5
烧钱,1
不行,5
核心,2
竞争力,1
对,8
发火,1
扬言,1
读,2
不好,5
课文,2
揍,1
他,8
开始,3
还,17
感情,1
（,6
虽然,1
错,3
）,8
每次,2
读错,1
重读,1
吼,1
越读,1
越,1
好,18
越来越,2
最后,3
总算,1
一次,1
提交,1
语音,1
作业,4
事后,1
找,14
谈谈,1
说,13
爸爸,1
这样,3
会,13
让,12
你,8
失去,1
学习,6
兴趣,1
“,7
早就,1
”,7
整个,2
车厢,1
一个,29
·,2
南站,4
显示,2
地图,2
顺利完成,1
出差,3
任务,3
当天,1
去,14
回,1
滴滴,1
车,2
出租车,1
方便,2
没人,1
抓,4
进,2
扫码,1
不是,5
14,2
天,3
一座,1
不让,1
其他,5
地铁,2
路上,1
火车站,2
[,4
组图,4
共,4
张,4
],4
从,3
下来,3
被,6
隔离,3
顺利,1
只是,5
火车,1
上要,1
填写,1
资料,3
ok,1
出站,1
后,4
直到,1
检测,1
罗永浩,2
直播,5
感觉,8
宣布,1
元年,1
到来,1
过,6
气,1
明星,1
没准,4
蠢蠢欲动,1
老罗,2
精神状态,1
加强锻炼,1
颓,1
下面,6
看看,3
另外,1
几个,7
网红,1
怎么,3
打算,3
美女,2
带带,1
货,1
体验,1
不怎么,1
马上,3
同志,4
们,14
老板,5
收到,1
一起,3
帮助,5
工作,10
吧,13
Ｖ,1
信,1
经常,2
推些,1
大家,10
不要,3
烦,1
即日起,1
快速,1
