微博,15
正文,1
一大早,1
，,78
樊登,1
读书,6
给,7
我,17
寄来,1
一大,1
箱子,1
书,3
真是,3
点亮,1
臂力,1
啊,2
…,8
大家,10
帮忙,1
看看,2
哪些,2
你,15
看过,2
可以,8
优先,1
看,21
 ,99
 ,99
[,30
组图,5
共,5
3,14
张,5
],30
原图,17
【,11
听力,11
每日,25
一句,13
】,11
材料,25
均,25
节选自,25
ScalersTalk,25
成长,25
会,38
旗下,25
训练营,25
当日,25
练习,25
内容,26
。,74
请,26
先,14
在,27
评论,28
区,28
打开,12
链接,11
进行,12
听写,11
然后,27
查看,11
下面,11
的,72
答案,11
与,17
解析,11
Day,25
282The,1
country,3
now,1
has,3
more,5
than,3
78,1
",",12
800,2
cases,2
and,13
almost,1
2,6
deaths,1
from,7
the,18
disease,2
called,2
COVID,1
-,9
19,3
.,14
About,1
three,2
fourths,1
of,16
all,3
new,3
infections,1
are,5
being,2
reported,1
in,14
countries,1
other,3
China,5
背景,11
世界卫生组织,2
（,10
简称,2
WHO,2
）,10
表示,3
新型,1
冠状病毒,2
可能,8
全球,6
传播,2
世卫,2
组织,3
发言人,1
周五,1
瑞士,1
对,11
记者,1
：,11
“,19
疫情,5
越来越,3
严重,1
”,19
目前,4
有近,1
60,1
个,3
国家,9
出现,3
了,29
确诊,1
病例,1
:,12
四分之三,1
除,1
之外,1
以上,25
选自,25
第,24
14,12
期,24
04,4
月,28
05,1
日零阶,2
想,31
和,36
我们,34
一起,29
持续,29
行动,28
么,28
？,47
留言,26
讨论,26
明天,22
再见,4
！,26
推荐,1
这,6
本书,1
强烈推荐,2
喷人,1
时候,9
一定,2
要,13
看清,1
名字,1
不要,5
喷错,1
否则,1
很,9
尴尬,1
不过,4
知错,1
能,7
改,1
就是,9
值得,1
团结,2
好,5
喷子,1
美国,11
经济,5
虽然,4
重要,3
但,5
也,17
只,2
占,2
23%,1
假以时日,1
剩余,2
77%,1
体量,1
想方设法,1
团结起来,1
让,4
承受,1
痛苦,3
这是,3
黑石,3
集团,2
苏,3
世民,3
2018,2
年,24
观点,1
现在,4
好像,2
正在,2
慢慢,1
发生,2
清华大学,1
书院,1
背后,1
故事,2
2012,1
时任,1
校长,1
陈吉宁,1
巴黎,1
会见,1
创始人,2
为,8
清华,1
寻求,1
捐赠,1
提出,4
制订,1
一个,11
计划,2
鼓励,1
世界各地,2
最,4
优秀,1
聪明人,2
学习,6
他,1
日,25
成为,2
各国,2
有,21
影响力,2
领军人物,1
时,2
友情,1
理性,1
基础,1
上,12
采取行动,1
防止,2
陷入,1
修昔底,1
德,1
陷阱,1
疑虑,1
不,10
信任,1
状态,2
会议,2
结束,3
陈,1
说,7
成本,1
高,2
承诺,1
首笔,1
出资,1
1,4
亿美元,1
并且,2
保证,1
筹集,1
其余,1
资金,1
于是,3
学院,1
由此,1
诞生,1
项目,1
开始,6
执行,1
后,17
发现,4
亿美金,1
不够,2
筹集资金,1
但是,6
问题,7
来,7
许多,2
人,15
认为,3
这个,7
史无前例,1
构想,1
根本,3
变成,2
现实,1
一次,6
参加,2
活动,3
遇到,2
桥水,1
基金,2
达利,1
欧,1
《,25
原则,2
》,25
作者,1
提议,1
2500,1
万美元,1
喜欢,3
中国,8
自己,22
孩子,2
读,2
一年,1
仍然,2
无法,1
实现,5
经过,1
反复,1
劝说,2
1000,3
并,3
如果,11
运行,1
成功,4
再,3
1500,1
压根,1
就,15
没,4
觉得,4
给出,1
第二笔,1
捐助,1
的确,1
困难,3
后面,2
修改,1
方案,2
250,1
万美金,1
连续,1
15,2
每年,2
供应,1
一位,2
本国,1
学生,1
进入,3
就读,1
这样一来,1
积极性,1
很多,5
还是,6
愿意,1
资助,3
其,5
提供,2
奖学金,1
还,6
找,1
软银,1
孙正义,1
孙说,1
中日关系,1
一直,1
不好,2
强大,2
日本,3
人口,1
萎缩,1
是,30
修复,1
听,3
道理,1
四名,1
之后,1
又,6
追加,1
中,5
美,2
双方,1
工作,7
协商,1
由于,3
中美,1
12,1
小时,4
时差,1
团队,1
只能,2
晚上,1
推进,1
花费,2
时间,6
